====================================================================
  BIU Lost & Found Survey — Playwright Submitter
  Target: 200 responses
  Delay:  5-10s
====================================================================
[  1/200] OK   (success=1, fail=0)
[ 92/200] OK   (success=92, fail=0)
[ 93/200] OK   (success=93, fail=0)
[ 94/200] OK   (success=94, fail=0)
[ 95/200] OK   (success=95, fail=0)
[ 96/200] OK   (success=96, fail=0)
[ 97/200] OK   (success=97, fail=0)
[ 98/200] OK   (success=98, fail=0)
[ 99/200] OK   (success=99, fail=0)
[100/200] OK   (success=100, fail=0)
[101/200] OK   (success=101, fail=0)
[102/200] OK   (success=102, fail=0)
[103/200] OK   (success=103, fail=0)
[104/200] OK   (success=104, fail=0)
[105/200] OK   (success=105, fail=0)
[106/200] OK   (success=106, fail=0)
[107/200] FAIL (success=106, fail=1)
[108/200] OK   (success=107, fail=1)
[109/200] OK   (success=108, fail=1)
[110/200] OK   (success=109, fail=1)
[111/200] OK   (success=110, fail=1)
[112/200] OK   (success=111, fail=1)
[113/200] OK   (success=112, fail=1)
[114/200] OK   (success=113, fail=1)
[115/200] OK   (success=114, fail=1)
[116/200] OK   (success=115, fail=1)
[117/200] OK   (success=116, fail=1)
[118/200] OK   (success=117, fail=1)
[119/200] OK   (success=118, fail=1)
[120/200] OK   (success=119, fail=1)
[121/200] OK   (success=120, fail=1)
[122/200] OK   (success=121, fail=1)
[123/200] OK   (success=122, fail=1)
[124/200] OK   (success=123, fail=1)
[125/200] OK   (success=124, fail=1)
[126/200] OK   (success=125, fail=1)
[127/200] OK   (success=126, fail=1)
[128/200] OK   (success=127, fail=1)
[129/200] OK   (success=128, fail=1)
[130/200] OK   (success=129, fail=1)
[131/200] OK   (success=130, fail=1)
[132/200] OK   (success=131, fail=1)
[133/200] OK   (success=132, fail=1)
[134/200] OK   (success=133, fail=1)
[135/200] OK   (success=134, fail=1)
[136/200] OK   (success=135, fail=1)
[137/200] OK   (success=136, fail=1)
[138/200] OK   (success=137, fail=1)
[139/200] OK   (success=138, fail=1)
[140/200] OK   (success=139, fail=1)
[141/200] OK   (success=140, fail=1)
[142/200] OK   (success=141, fail=1)
[143/200] OK   (success=142, fail=1)
[144/200] OK   (success=143, fail=1)
[145/200] OK   (success=144, fail=1)
[146/200] OK   (success=145, fail=1)
[147/200] OK   (success=146, fail=1)
[148/200] OK   (success=147, fail=1)
[149/200] OK   (success=148, fail=1)
[150/200] OK   (success=149, fail=1)
[151/200] OK   (success=150, fail=1)
[152/200] OK   (success=151, fail=1)
[153/200] OK   (success=152, fail=1)
[154/200] OK   (success=153, fail=1)
[155/200] OK   (success=154, fail=1)
[156/200] OK   (success=155, fail=1)
[157/200] OK   (success=156, fail=1)
[158/200] OK   (success=157, fail=1)
[159/200] OK   (success=158, fail=1)
[160/200] OK   (success=159, fail=1)
[161/200] OK   (success=160, fail=1)
[162/200] OK   (success=161, fail=1)
[163/200] OK   (success=162, fail=1)
[164/200] OK   (success=163, fail=1)
[165/200] OK   (success=164, fail=1)
[166/200] OK   (success=165, fail=1)
[167/200] OK   (success=166, fail=1)
[168/200] OK   (success=167, fail=1)
[169/200] OK   (success=168, fail=1)
[170/200] OK   (success=169, fail=1)
[171/200] OK   (success=170, fail=1)
[172/200] OK   (success=171, fail=1)
[173/200] OK   (success=172, fail=1)
[174/200] OK   (success=173, fail=1)
[175/200] OK   (success=174, fail=1)
[176/200] OK   (success=175, fail=1)
[177/200] OK   (success=176, fail=1)
[178/200] OK   (success=177, fail=1)
[179/200] OK   (success=178, fail=1)
[180/200] OK   (success=179, fail=1)
[181/200] OK   (success=180, fail=1)
[182/200] OK   (success=181, fail=1)
[183/200] OK   (success=182, fail=1)
[184/200] OK   (success=183, fail=1)
[185/200] OK   (success=184, fail=1)
[186/200] OK   (success=185, fail=1)
[187/200] OK   (success=186, fail=1)
[188/200] OK   (success=187, fail=1)
[189/200] OK   (success=188, fail=1)
[190/200] OK   (success=189, fail=1)
[191/200] OK   (success=190, fail=1)
[192/200] OK   (success=191, fail=1)
[193/200] OK   (success=192, fail=1)
[194/200] OK   (success=193, fail=1)
[195/200] OK   (success=194, fail=1)
[196/200] OK   (success=195, fail=1)
[197/200] OK   (success=196, fail=1)
[198/200] OK   (success=197, fail=1)
[199/200] OK   (success=198, fail=1)
[200/200] OK   (success=199, fail=1)

====================================================================
  Finished — Success: 199  Failed: 1
  Success rate: 99.5%
====================================================================
